,Player,Career Length,GP,PPG,APG,RPG,FG%,3P%,FT%,PER,Winshares
0,Alaa Abdelnaby,4,256,5.7,0.3,3.3,50.2,0.0,70.1,13.0,4.8
1,Zaid Abdul-Aziz,9,505,9.0,1.2,8.0,42.8,-1,72.8,15.1,17.5
2,Kareem Abdul-Jabbar,19,1560,24.6,3.6,11.2,55.9,5.6,72.1,24.6,273.4
3,Mahmoud Abdul-Rauf,10,724,12.6,4.9,3.0,44.1,-1,75.7,15.0,30.3
4,Tariq Abdul-Wahad,5,236,7.8,1.1,3.3,41.7,23.7,70.3,11.4,3.5
5,Shareef Abdur-Rahim,11,830,18.1,2.5,7.5,47.2,29.7,81.0,19.0,71.2
6,Tom Abernethy,4,319,5.6,1.2,3.2,49.2,0.0,74.7,12.9,13.4
7,Forest Able,0,1,0.0,1.0,1.0,0.0,-1,-,-41.5,0.0
8,John Abramovic,1,56,9.5,0.7,-,23.7,-1,68.6,-,-1.9
9,Álex Abrines,2,-1,-1,-1,-1,-1,-1,-1,-1,-1
10,Precious Achiuwa,1,134,7.2,0.8,5.1,46.8,35.7,55.6,13.1,3.8
11,Alex Acker,3,30,2.7,0.5,1.0,37.0,32.0,50.0,8.5,-0.2
12,Don Ackerman,0,28,1.5,0.8,0.5,22.2,-1,53.6,1.0,-0.6
13,Mark Acres,5,375,3.6,0.5,4.1,50.6,53.8,66.5,9.0,9.3
14,Bud Acton,0,23,3.3,0.5,2.0,39.2,-1,65.5,9.5,0.1
15,Quincy Acy,6,337,4.9,0.6,3.5,44.4,35.0,75.9,11.2,8.7
16,Alvan Adams,12,988,14.1,4.1,7.0,49.8,13.3,78.8,18.3,73.5
17,Don Adams,6,523,8.8,1.9,5.6,40.2,0.0,74.1,10.7,11.7
18,George Adams,2,215,7.7,1.5,4.1,49.7,23.5,79.4,14.0,6.6
19,Hassan Adams,2,73,2.5,0.2,1.2,53.4,0.0,64.3,11.8,0.8
20,Jaylen Adams,2,41,2.7,1.6,1.5,33.1,32.9,77.8,7.0,0.0
21,Jordan Adams,1,32,3.2,0.6,0.9,40.2,38.5,60.7,13.1,0.4
22,Michael Adams,10,653,14.7,6.4,2.9,41.5,33.2,84.9,16.6,46.9
23,Steven Adams,8,664,9.3,1.5,8.0,58.7,7.1,54.7,17.0,56.0
